Episode, avg_return, max_return, min_return
1, 9.6, 11.0, 8.0
101, 9.4, 10.0, 8.0
201, 10.1, 11.0, 9.0
301, 11.4, 12.0, 10.0
401, 22.7, 31.0, 11.0
501, 61.75, 68.0, 53.0
601, 118.1, 126.0, 111.0
701, 110.65, 157.0, 96.0
801, 406.5, 500.0, 280.0
901, 483.0, 500.0, 160.0
1001, 34.95, 44.0, 27.0
1101, 83.5, 102.0, 72.0
1201, 81.1, 128.0, 60.0
1301, 103.05, 109.0, 96.0
1401, 103.2, 114.0, 98.0
1501, 102.75, 110.0, 95.0
1601, 99.2, 104.0, 96.0
1701, 100.8, 107.0, 95.0
1801, 85.75, 103.0, 16.0
1901, 92.8, 103.0, 16.0
2001, 101.3, 110.0, 95.0
2101, 109.4, 114.0, 104.0
2201, 110.5, 120.0, 104.0
2301, 112.75, 119.0, 106.0
2401, 116.2, 124.0, 109.0
2501, 111.75, 119.0, 102.0
2601, 114.15, 121.0, 106.0
2701, 115.4, 121.0, 107.0
2801, 119.6, 127.0, 109.0
2901, 119.75, 127.0, 112.0
3001, 120.75, 126.0, 114.0
3101, 128.3, 135.0, 122.0
3201, 123.75, 128.0, 118.0
3301, 132.45, 138.0, 126.0
3401, 143.85, 154.0, 136.0
3501, 156.35, 164.0, 144.0
3601, 168.85, 179.0, 159.0
3701, 186.75, 198.0, 175.0
3801, 197.1, 215.0, 178.0
3901, 302.3, 317.0, 279.0
4001, 492.35, 500.0, 440.0
