Episode, avg_return, max_return, min_return
1, -200.0, -200.0, -200.0
101, -200.0, -200.0, -200.0
201, -200.0, -200.0, -200.0
301, -200.0, -200.0, -200.0
401, -200.0, -200.0, -200.0
501, -200.0, -200.0, -200.0
601, -200.0, -200.0, -200.0
701, -200.0, -200.0, -200.0
801, -200.0, -200.0, -200.0
901, -200.0, -200.0, -200.0
1001, -200.0, -200.0, -200.0
1101, -200.0, -200.0, -200.0
1201, -200.0, -200.0, -200.0
1301, -200.0, -200.0, -200.0
1401, -200.0, -200.0, -200.0
1501, -200.0, -200.0, -200.0
1601, -200.0, -200.0, -200.0
1701, -200.0, -200.0, -200.0
1801, -200.0, -200.0, -200.0
1901, -200.0, -200.0, -200.0
2001, -200.0, -200.0, -200.0
2101, -200.0, -200.0, -200.0
2201, -200.0, -200.0, -200.0
2301, -200.0, -200.0, -200.0
2401, -200.0, -200.0, -200.0
2501, -200.0, -200.0, -200.0
2601, -200.0, -200.0, -200.0
2701, -200.0, -200.0, -200.0
2801, -200.0, -200.0, -200.0
2901, -200.0, -200.0, -200.0
3001, -200.0, -200.0, -200.0
3101, -200.0, -200.0, -200.0
3201, -200.0, -200.0, -200.0
3301, -200.0, -200.0, -200.0
3401, -200.0, -200.0, -200.0
3501, -200.0, -200.0, -200.0
3601, -200.0, -200.0, -200.0
3701, -200.0, -200.0, -200.0
3801, -200.0, -200.0, -200.0
3901, -200.0, -200.0, -200.0
4001, -179.05, -158.0, -200.0
