Episode, avg_return, max_return, min_return
1, -1250.3705298779237, -1201.2520595401952, -1356.257740204571
101, -1313.813408104657, -1055.06630792124, -1608.0011440437506
201, -1556.6049671049616, -1423.111492946365, -1716.309106826154
301, -1439.3790376247598, -1039.5413500868353, -1716.8715627258835
401, -1297.9225263759827, -6.964350796868749, -1681.6563504122728
501, -1228.5950103061082, -1099.1726760421293, -1533.6664605587944
601, -932.4760300184562, -0.9970659879960112, -1593.2801073760115
701, -884.3510945296572, -1.4366326252734272, -1291.3942694762534
801, -810.3485402277959, -1.2835353125467452, -1129.690271209823
901, -350.6668768969518, -0.8376534027007455, -1505.9522510970214
1001, -299.3458085314231, -0.4566234357764072, -1506.807974863578
1101, -359.8161902610315, -0.7162792501837492, -1527.7295101323182
1201, -177.89828894509594, -0.9405506266585696, -376.6431890724164
1301, -259.88952872421976, -120.60425562155521, -1491.8700599581862
1401, -195.6923137007039, -4.3388304699266484, -407.9597709475351
1501, -154.90611337477162, -1.3259996203234259, -359.6992983849736
1601, -154.24330547858509, -1.0058242138374043, -369.9434129799937
1701, -128.76068867638895, -0.45060125064645035, -250.9700919854594
1801, -131.59062519421497, -0.6481135389849303, -293.0393178062101
1901, -178.49506140173375, -0.7102508582508192, -374.5046992463578
2001, -132.98689394408794, -0.7977327568140418, -352.60612060590006
2101, -164.54433093956854, -1.0980323911114342, -364.44202226330435
2201, -166.63173020894715, -0.5665197255367054, -358.9314964978738
2301, -160.89886562150554, -0.430411115429704, -342.1687346150065
2401, -195.2813088346198, -1.5882104356401983, -370.6813965114217
2501, -144.80412804423594, -0.758440087192085, -249.26778939203638
2601, -161.30519576943243, -1.5332934458521033, -378.80880509752654
2701, -133.7837995810924, -0.6127038181659077, -406.49868397009936
2801, -195.83196793301323, -117.25061275691746, -914.68846119788
2901, -135.79430549748312, -0.851469710172575, -339.9940102598467
3001, -164.9359969011797, -0.5707869222017832, -357.2724256526852
3101, -149.71935840976076, -1.1253453186953613, -323.2566981480313
3201, -174.54881697132322, -1.700119864108498, -311.540882644699
3301, -148.92683383987804, -0.3178608592925858, -318.7423611634806
3401, -161.11791920651348, -0.1658435100120986, -363.96929662263017
3501, -164.61148082495617, -115.45104178676938, -335.94257717357715
3601, -181.38536796807327, -1.1550027161310306, -357.74728856270605
3701, -143.9102525854618, -115.09272981193672, -241.44273661075687
3801, -124.14022783262608, -0.3679020993856044, -228.02436730964314
3901, -171.2451180803058, -0.4503529686762788, -343.05277901041194
4001, -138.43166172202456, -1.1659559892549733, -266.4716271036083
